Tweet,Tweet_Normalized,Tweet_Tokenized,Tweet_Stopwords,Tweet_Stemmed,Suicide
membuat makan siang,membuat makan siang,"['membuat', 'makan', 'siang']","['makan', 'siang']","['makan', 'siang']",Not Suicide post
anda menginginkan uangnya,anda menginginkan uangnya,"['anda', 'menginginkan', 'uangnya']",['uangnya'],['uang'],Not Suicide post
"omong kosong itu membutuhkan waktu lama bagi saya untuk disatukan, saya akan tidur selama berhari -hari","omong kosong itu membutuhkan waktu lama bagi saya untuk disatukan, saya akan tidur selama berhari -hari","['omong', 'kosong', 'itu', 'membutuhkan', 'waktu', 'lama', 'bagi', 'saya', 'untuk', 'disatukan', ',', 'saya', 'akan', 'tidur', 'selama', 'berhari', '-hari']","['omong', 'kosong', 'membutuhkan', 'disatukan', ',', 'tidur', 'berhari', '-hari']","['omong', 'kosong', 'butuh', 'satu', '', 'tidur', 'hari', '-hari']",Potential Suicide post
hey jer sejak kapan anda mulai berkicau,hey jer sejak kapan anda mulai berkicau,"['hey', 'jer', 'sejak', 'kapan', 'anda', 'mulai', 'berkicau']","['hey', 'jer', 'berkicau']","['hey', 'jer', 'kicau']",Not Suicide post
"mencoba perpustakaan lezat 2 dengan hasil campuran kode batang berpikir saya ingin menambahkan bra olahraga, bukan aplikasi keren bor tho","mencoba perpustakaan lezat 2 dengan hasil campuran kode batang berpikir saya ingin menambahkan bra olahraga, bukan aplikasi keren bor tho","['mencoba', 'perpustakaan', 'lezat', '2', 'dengan', 'hasil', 'campuran', 'kode', 'batang', 'berpikir', 'saya', 'ingin', 'menambahkan', 'bra', 'olahraga', ',', 'bukan', 'aplikasi', 'keren', 'bor', 'tho']","['mencoba', 'perpustakaan', 'lezat', '2', 'hasil', 'campuran', 'kode', 'batang', 'berpikir', 'bra', 'olahraga', ',', 'aplikasi', 'keren', 'bor', 'tho']","['coba', 'pustaka', 'lezat', '2', 'hasil', 'campur', 'kode', 'batang', 'pikir', 'bra', 'olahraga', '', 'aplikasi', 'keren', 'bor', 'tho']",Not Suicide post
oh itu bagus untuk didengar tetapi sudah berakhir atau anda akan melanjutkannya setelah minggu suci,oh itu bagus untuk didengar tetapi sudah berakhir atau anda akan melanjutkannya setelah minggu suci,"['oh', 'itu', 'bagus', 'untuk', 'didengar', 'tetapi', 'sudah', 'berakhir', 'atau', 'anda', 'akan', 'melanjutkannya', 'setelah', 'minggu', 'suci']","['oh', 'bagus', 'didengar', 'melanjutkannya', 'minggu', 'suci']","['oh', 'bagus', 'dengar', 'lanjut', 'minggu', 'suci']",Not Suicide post
anda punya daftar untuk sesama anda harus membagikan satu amigo itu,anda punya daftar untuk sesama anda harus membagikan satu amigo itu,"['anda', 'punya', 'daftar', 'untuk', 'sesama', 'anda', 'harus', 'membagikan', 'satu', 'amigo', 'itu']","['daftar', 'membagikan', 'amigo']","['daftar', 'bagi', 'amigo']",Not Suicide post
hanya karena shane membuat seri tentang anda tidak berarti orang menganggap anda serius y,hanya karena shane membuat seri tentang anda tidak berarti orang menganggap anda serius y,"['hanya', 'karena', 'shane', 'membuat', 'seri', 'tentang', 'anda', 'tidak', 'berarti', 'orang', 'menganggap', 'anda', 'serius', 'y']","['shane', 'seri', 'orang', 'menganggap', 'serius', 'y']","['shane', 'seri', 'orang', 'anggap', 'serius', 'y']",Potential Suicide post
waktunya untuk beberapa taman bir warsawa,waktunya untuk beberapa taman bir warsawa,"['waktunya', 'untuk', 'beberapa', 'taman', 'bir', 'warsawa']","['taman', 'bir', 'warsawa']","['taman', 'bir', 'warsawa']",Not Suicide post
"aku benci hidupku lmao, kuharap aku segera mati atau summ, aku terlalu lelah dengan segalanya","saya benci hidup saya lmao, kuharap saya segera meninggal atau summ, saya terlalu lelah dengan segalanya","['saya', 'benci', 'hidup', 'saya', 'lmao', ',', 'kuharap', 'saya', 'segera', 'meninggal', 'atau', 'summ', ',', 'saya', 'terlalu', 'lelah', 'dengan', 'segalanya']","['benci', 'hidup', 'lmao', ',', 'kuharap', 'meninggal', 'summ', ',', 'lelah']","['benci', 'hidup', 'lmao', '', 'harap', 'tinggal', 'summ', '', 'lelah']",Potential Suicide post
